codigo_venda,data,id_loja,produto,quantidade,valor_unitario,valor_final
65,2019-01-02,Center Shopping Uberlândia,Gorro Xadrez,1,85.0,85.0
66,2019-01-02,Palladium Shopping Curitiba,Casaco,4,250.0,1000.0
66,2019-01-02,Palladium Shopping Curitiba,Camiseta Linho,1,223.0,223.0
67,2019-01-02,Shopping SP Market,Polo Linho,3,176.0,528.0
69,2019-01-02,Shopping Ibirapuera,Meia Xadrez,1,41.0,41.0
69,2019-01-02,Shopping Ibirapuera,Gorro Listrado,3,97.0,291.0
70,2019-01-02,Shopping Center Leste Aricanduva,Gorro Linho,2,124.0,248.0
70,2019-01-02,Shopping Center Leste Aricanduva,Cueca Xadrez,1,60.0,60.0
70,2019-01-02,Shopping Center Leste Aricanduva,Bermuda Listrado,1,163.0,163.0
70,2019-01-02,Shopping Center Leste Aricanduva,Terno Linho,2,750.0,1500.0
71,2019-01-02,Shopping Iguatemi Fortaleza,Relógio,4,200.0,800.0
71,2019-01-02,Shopping Iguatemi Fortaleza,Relógio Listrado,4,218.0,872.0
72,2019-01-02,Shopping Morumbi,Gorro Estampa,2,93.0,186.0
72,2019-01-02,Shopping Morumbi,Sapato Xadrez,4,368.0,1472.0
73,2019-01-02,Norte Shopping,Cueca Xadrez,5,60.0,300.0
73,2019-01-02,Norte Shopping,Cueca Listrado,1,67.0,67.0
75,2019-01-02,Shopping Morumbi,Sapato Xadrez,2,368.0,736.0
75,2019-01-02,Shopping Morumbi,Cueca,2,50.0,100.0
80,2019-01-02,Center Shopping Uberlândia,Meia Linho,3,78.0,234.0
80,2019-01-02,Center Shopping Uberlândia,Meia Linho,3,78.0,234.0
81,2019-01-02,Salvador Shopping,Cueca Xadrez,1,60.0,60.0
82,2019-01-02,Shopping Vila Velha,Meia Listrado,1,37.0,37.0
83,2019-01-02,Rio Mar Shopping Fortaleza,Sunga Liso,3,114.0,342.0
84,2019-01-02,Ribeirão Shopping,Pulseira Xadrez,5,87.0,435.0
84,2019-01-02,Ribeirão Shopping,Sapato Liso,3,368.0,1104.0
84,2019-01-02,Ribeirão Shopping,Calça,1,170.0,170.0
86,2019-01-02,Parque Dom Pedro Shopping,Polo,1,130.0,130.0
87,2019-01-02,Rio Mar Recife,Camisa Estampa,1,113.0,113.0
88,2019-01-02,Shopping Morumbi,Gorro Listrado,1,97.0,97.0
88,2019-01-02,Shopping Morumbi,Meia Liso,3,38.0,114.0
89,2019-01-02,Shopping Eldorado,Gorro Liso,1,92.0,92.0
91,2019-01-02,Shopping Center Leste Aricanduva,Calça Xadrez,1,185.0,185.0
93,2019-01-02,Novo Shopping Ribeirão Preto,Camiseta Liso,1,187.0,187.0
93,2019-01-02,Novo Shopping Ribeirão Preto,Camiseta,1,180.0,180.0
94,2019-01-02,Palladium Shopping Curitiba,Relógio Estampa,4,219.0,876.0
95,2019-01-02,Shopping Morumbi,Sunga Listrado,2,114.0,228.0
96,2019-01-02,Shopping Recife,Meia Xadrez,1,41.0,41.0
97,2019-01-02,Rio Mar Shopping Fortaleza,Terno Xadrez,1,709.0,709.0
97,2019-01-02,Rio Mar Shopping Fortaleza,Camiseta Xadrez,1,200.0,200.0
98,2019-01-02,Ribeirão Shopping,Sunga Liso,3,114.0,342.0
99,2019-01-02,Bourbon Shopping SP,Sapato Xadrez,2,368.0,736.0
99,2019-01-02,Bourbon Shopping SP,Short Liso,5,108.0,540.0
99,2019-01-02,Bourbon Shopping SP,Cinto Listrado,4,214.0,856.0
100,2019-01-02,Shopping Barra,Camisa Gola V Liso,3,118.0,354.0
100,2019-01-02,Shopping Barra,Cinto Xadrez,4,215.0,860.0
101,2019-01-02,Shopping SP Market,Cinto Listrado,2,214.0,428.0
101,2019-01-02,Shopping SP Market,Camisa Listrado,2,108.0,216.0
104,2019-01-02,Shopping Midway Mall,Camisa,1,100.0,100.0
105,2019-01-02,Shopping Recife,Calça Liso,2,190.0,380.0
105,2019-01-02,Shopping Recife,Pulseira Listrado,1,79.0,79.0
105,2019-01-02,Shopping Recife,Pulseira Listrado,3,79.0,237.0
106,2019-01-02,Parque Dom Pedro Shopping,Pulseira Liso,4,87.0,348.0
107,2019-01-02,Shopping União de Osasco,Sunga Estampa,2,120.0,240.0
107,2019-01-02,Shopping União de Osasco,Mochila Linho,2,311.0,622.0
107,2019-01-02,Shopping União de Osasco,Casaco Xadrez,2,259.0,518.0
108,2019-01-02,Parque Dom Pedro Shopping,Polo Listrado,4,149.0,596.0
109,2019-01-02,Rio Mar Recife,Camisa Gola V Listrado,3,116.0,348.0
110,2019-01-02,Bourbon Shopping SP,Polo Estampa,2,138.0,276.0
111,2019-01-02,Shopping Iguatemi Fortaleza,Cueca Liso,2,69.0,138.0
112,2019-01-02,Shopping Center Interlagos,Calça Listrado,2,181.0,362.0
112,2019-01-02,Shopping Center Interlagos,Camisa Gola V Linho,2,145.0,290.0
113,2019-01-02,Rio Mar Recife,Sapato,2,350.0,700.0
114,2019-01-02,Shopping Eldorado,Camiseta Linho,2,223.0,446.0
115,2019-01-02,Rio Mar Shopping Fortaleza,Meia Listrado,2,37.0,74.0
116,2019-01-02,Iguatemi Esplanada,Sapato,5,350.0,1750.0
116,2019-01-02,Iguatemi Esplanada,Calça Xadrez,1,185.0,185.0
117,2019-01-02,Parque Dom Pedro Shopping,Camisa Xadrez,3,105.0,315.0
117,2019-01-02,Parque Dom Pedro Shopping,Mochila Estampa,1,277.0,277.0
118,2019-01-02,Shopping Midway Mall,Sunga Listrado,2,114.0,228.0
118,2019-01-02,Shopping Midway Mall,Polo Estampa,1,138.0,138.0
118,2019-01-02,Shopping Midway Mall,Tênis Linho,2,294.0,588.0
119,2019-01-02,Shopping Center Leste Aricanduva,Calça Linho,2,211.0,422.0
121,2019-01-02,Shopping Midway Mall,Polo Xadrez,1,142.0,142.0
121,2019-01-02,Shopping Midway Mall,Tênis Xadrez,1,259.0,259.0
123,2019-01-02,Iguatemi Esplanada,Bermuda Listrado,1,163.0,163.0
124,2019-01-02,Shopping Center Leste Aricanduva,Short Estampa,2,96.0,192.0
124,2019-01-02,Shopping Center Leste Aricanduva,Gorro Estampa,5,93.0,465.0
124,2019-01-02,Shopping Center Leste Aricanduva,Cueca Estampa,1,66.0,66.0
124,2019-01-02,Shopping Center Leste Aricanduva,Meia Linho,4,78.0,312.0
125,2019-01-02,Shopping Midway Mall,Polo Listrado,1,149.0,149.0
126,2019-01-02,Salvador Shopping,Camisa Estampa,1,113.0,113.0
127,2019-01-02,Ribeirão Shopping,Camisa Estampa,2,113.0,226.0
127,2019-01-02,Ribeirão Shopping,Short,1,90.0,90.0
128,2019-01-02,Shopping União de Osasco,Pulseira Liso,3,87.0,261.0
129,2019-01-02,Novo Shopping Ribeirão Preto,Meia Linho,2,78.0,156.0
131,2019-01-02,Ribeirão Shopping,Bermuda Liso,4,157.0,628.0
132,2019-01-02,Shopping Barra,Terno Linho,2,750.0,1500.0
132,2019-01-02,Shopping Barra,Mochila Linho,2,311.0,622.0
133,2019-01-02,Shopping Vila Velha,Relógio Estampa,1,219.0,219.0
133,2019-01-02,Shopping Vila Velha,Polo,2,130.0,260.0
133,2019-01-02,Shopping Vila Velha,Polo Estampa,1,138.0,138.0
133,2019-01-02,Shopping Vila Velha,Pulseira,3,70.0,210.0
133,2019-01-02,Shopping Vila Velha,Cinto,5,200.0,1000.0
135,2019-01-02,Shopping Center Interlagos,Mochila Xadrez,3,283.0,849.0
135,2019-01-02,Shopping Center Interlagos,Camisa Estampa,1,113.0,113.0
135,2019-01-02,Shopping Center Interlagos,Relógio Linho,2,240.0,480.0
137,2019-01-02,Norte Shopping,Cueca,2,50.0,100.0
138,2019-01-02,Salvador Shopping,Pulseira Linho,5,114.0,570.0
139,2019-01-02,Center Shopping Uberlândia,Camisa Gola V Listrado,5,116.0,580.0
139,2019-01-02,Center Shopping Uberlândia,Casaco Linho,2,299.0,598.0
140,2019-01-02,Shopping Barra,Meia Listrado,2,37.0,74.0
140,2019-01-02,Shopping Barra,Sunga Linho,1,149.0,149.0
141,2019-01-02,Novo Shopping Ribeirão Preto,Camisa Linho,2,141.0,282.0
141,2019-01-02,Novo Shopping Ribeirão Preto,Camisa,3,100.0,300.0
141,2019-01-02,Novo Shopping Ribeirão Preto,Chinelo Estampa,2,74.0,148.0
142,2019-01-02,Shopping Recife,Short Linho,2,133.0,266.0
142,2019-01-02,Shopping Recife,Sunga Liso,4,114.0,456.0
142,2019-01-02,Shopping Recife,Terno Xadrez,2,709.0,1418.0
142,2019-01-02,Shopping Recife,Gorro Xadrez,1,85.0,85.0
143,2019-01-02,Iguatemi Campinas,Pulseira,3,70.0,210.0
145,2019-01-02,Palladium Shopping Curitiba,Sapato Linho,2,391.0,782.0
146,2019-01-02,Shopping Eldorado,Pulseira Estampa,2,87.0,174.0
146,2019-01-02,Shopping Eldorado,Casaco Xadrez,2,259.0,518.0
146,2019-01-02,Shopping Eldorado,Cinto,1,200.0,200.0
146,2019-01-02,Shopping Eldorado,Sapato Xadrez,4,368.0,1472.0
147,2019-01-02,Norte Shopping,Camisa Xadrez,2,105.0,210.0
147,2019-01-02,Norte Shopping,Cueca,3,50.0,150.0
147,2019-01-02,Norte Shopping,Gorro Liso,2,92.0,184.0
148,2019-01-02,Shopping Center Interlagos,Cinto Xadrez,1,215.0,215.0
148,2019-01-02,Shopping Center Interlagos,Calça Liso,1,190.0,190.0
148,2019-01-02,Shopping Center Interlagos,Camiseta,2,180.0,360.0
149,2019-01-02,Rio Mar Shopping Fortaleza,Gorro Estampa,1,93.0,93.0
149,2019-01-02,Rio Mar Shopping Fortaleza,Camisa Gola V,3,100.0,300.0
150,2019-01-02,Rio Mar Shopping Fortaleza,Chinelo Estampa,5,74.0,370.0
151,2019-01-02,Iguatemi Esplanada,Meia Listrado,3,37.0,111.0
152,2019-01-02,Palladium Shopping Curitiba,Camiseta Liso,1,187.0,187.0
153,2019-01-02,Shopping Morumbi,Tênis Estampa,1,256.0,256.0
153,2019-01-02,Shopping Morumbi,Chinelo Linho,2,105.0,210.0
153,2019-01-02,Shopping Morumbi,Mochila Liso,1,276.0,276.0
154,2019-01-02,Shopping Eldorado,Terno Liso,1,720.0,720.0
154,2019-01-02,Shopping Eldorado,Tênis Liso,1,266.0,266.0
155,2019-01-02,Shopping União de Osasco,Short Listrado,1,102.0,102.0
155,2019-01-02,Shopping União de Osasco,Camisa Linho,1,141.0,141.0
158,2019-01-02,Shopping Ibirapuera,Cueca Listrado,2,67.0,134.0
158,2019-01-02,Shopping Ibirapuera,Calça Linho,1,211.0,211.0
159,2019-01-02,Novo Shopping Ribeirão Preto,Mochila Liso,2,276.0,552.0
159,2019-01-02,Novo Shopping Ribeirão Preto,Meia Listrado,2,37.0,74.0
159,2019-01-02,Novo Shopping Ribeirão Preto,Bermuda Listrado,1,163.0,163.0
160,2019-01-02,Shopping Center Interlagos,Pulseira Estampa,2,87.0,174.0
160,2019-01-02,Shopping Center Interlagos,Sapato Listrado,1,363.0,363.0
161,2019-01-02,Parque Dom Pedro Shopping,Bermuda Listrado,2,163.0,326.0
162,2019-01-02,Shopping Midway Mall,Cinto Liso,3,209.0,627.0
163,2019-01-02,Ribeirão Shopping,Mochila Estampa,5,277.0,1385.0
164,2019-01-02,Shopping Center Interlagos,Polo Liso,2,137.0,274.0
166,2019-01-02,Iguatemi Campinas,Cinto Xadrez,1,215.0,215.0
167,2019-01-02,Parque Dom Pedro Shopping,Chinelo Liso,1,71.0,71.0
167,2019-01-02,Parque Dom Pedro Shopping,Cueca Listrado,1,67.0,67.0
168,2019-01-02,Parque Dom Pedro Shopping,Mochila Estampa,1,277.0,277.0
169,2019-01-02,Shopping Ibirapuera,Short Listrado,2,102.0,204.0
169,2019-01-02,Shopping Ibirapuera,Sapato Estampa,5,358.0,1790.0
169,2019-01-02,Shopping Ibirapuera,Meia Liso,1,38.0,38.0
170,2019-01-02,Parque Dom Pedro Shopping,Tênis Xadrez,3,259.0,777.0
171,2019-01-02,Shopping Eldorado,Mochila Linho,2,311.0,622.0
172,2019-01-02,Shopping Midway Mall,Short,3,90.0,270.0
172,2019-01-02,Shopping Midway Mall,Terno Linho,4,750.0,3000.0
175,2019-01-02,Palladium Shopping Curitiba,Cinto Estampa,3,209.0,627.0
175,2019-01-02,Palladium Shopping Curitiba,Relógio Estampa,5,219.0,1095.0
176,2019-01-02,Iguatemi Campinas,Cinto Listrado,1,214.0,214.0
177,2019-01-02,Salvador Shopping,Camisa Liso,2,105.0,210.0
178,2019-01-02,Shopping Morumbi,Chinelo Estampa,5,74.0,370.0
178,2019-01-02,Shopping Morumbi,Terno Liso,2,720.0,1440.0
178,2019-01-02,Shopping Morumbi,Camisa Liso,2,105.0,210.0
178,2019-01-02,Shopping Morumbi,Meia Xadrez,3,41.0,123.0
178,2019-01-02,Shopping Morumbi,Sunga,1,100.0,100.0
179,2019-01-02,Rio Mar Shopping Fortaleza,Mochila Listrado,3,275.0,825.0
181,2019-01-02,Rio Mar Shopping Fortaleza,Cueca Linho,2,93.0,186.0
181,2019-01-02,Rio Mar Shopping Fortaleza,Mochila,3,270.0,810.0
182,2019-01-02,Shopping Recife,Camisa Liso,2,105.0,210.0
184,2019-01-02,Iguatemi Esplanada,Polo Linho,2,176.0,352.0
184,2019-01-02,Iguatemi Esplanada,Camisa Listrado,2,108.0,216.0
184,2019-01-02,Iguatemi Esplanada,Sapato Linho,2,391.0,782.0
184,2019-01-02,Iguatemi Esplanada,Sapato Estampa,1,358.0,358.0
185,2019-01-02,Palladium Shopping Curitiba,Camisa Gola V,4,100.0,400.0
186,2019-01-02,Parque Dom Pedro Shopping,Relógio,4,200.0,800.0
187,2019-01-02,Shopping Iguatemi Fortaleza,Short Liso,2,108.0,216.0
189,2019-01-02,Shopping Center Interlagos,Camisa Gola V Estampa,3,118.0,354.0
189,2019-01-02,Shopping Center Interlagos,Bermuda Xadrez,2,155.0,310.0
189,2019-01-02,Shopping Center Interlagos,Bermuda Linho,4,195.0,780.0
191,2019-01-02,Parque Dom Pedro Shopping,Calça,2,170.0,340.0
191,2019-01-02,Parque Dom Pedro Shopping,Casaco Xadrez,4,259.0,1036.0
193,2019-01-02,Shopping Vila Velha,Pulseira Linho,1,114.0,114.0
194,2019-01-02,Salvador Shopping,Camisa Gola V Linho,4,145.0,580.0
194,2019-01-02,Salvador Shopping,Polo,1,130.0,130.0
194,2019-01-02,Salvador Shopping,Terno Linho,1,750.0,750.0
195,2019-01-02,Norte Shopping,Cinto,1,200.0,200.0
195,2019-01-02,Norte Shopping,Relógio Liso,3,216.0,648.0
196,2019-01-02,Norte Shopping,Cueca Xadrez,2,60.0,120.0
197,2019-01-02,Shopping Barra,Camiseta Linho,1,223.0,223.0
198,2019-01-02,Shopping Recife,Gorro Linho,1,124.0,124.0
198,2019-01-02,Shopping Recife,Chinelo Linho,4,105.0,420.0
199,2019-01-02,Passei das Águas Shopping,Camiseta,2,180.0,360.0
201,2019-01-02,Norte Shopping,Relógio,2,200.0,400.0
201,2019-01-02,Norte Shopping,Mochila Estampa,3,277.0,831.0
202,2019-01-02,Shopping Eldorado,Tênis Listrado,3,262.0,786.0
202,2019-01-02,Shopping Eldorado,Camisa Gola V,2,100.0,200.0
202,2019-01-02,Shopping Eldorado,Cinto Linho,1,248.0,248.0
205,2019-01-02,Iguatemi Campinas,Sapato Xadrez,2,368.0,736.0
205,2019-01-02,Iguatemi Campinas,Terno Listrado,3,709.0,2127.0
205,2019-01-02,Iguatemi Campinas,Meia Linho,1,78.0,78.0
207,2019-01-03,Shopping Midway Mall,Tênis Xadrez,2,259.0,518.0
208,2019-01-03,Passei das Águas Shopping,Terno Linho,1,750.0,750.0
209,2019-01-03,Shopping Morumbi,Pulseira,2,70.0,140.0
209,2019-01-03,Shopping Morumbi,Camisa Gola V Estampa,1,118.0,118.0
210,2019-01-03,Palladium Shopping Curitiba,Sapato Xadrez,5,368.0,1840.0
210,2019-01-03,Palladium Shopping Curitiba,Camisa Linho,1,141.0,141.0
210,2019-01-03,Palladium Shopping Curitiba,Calça,5,170.0,850.0
210,2019-01-03,Palladium Shopping Curitiba,Terno,5,700.0,3500.0
211,2019-01-03,Shopping Morumbi,Polo Liso,1,137.0,137.0
211,2019-01-03,Shopping Morumbi,Tênis,2,250.0,500.0
211,2019-01-03,Shopping Morumbi,Cinto Liso,2,209.0,418.0
212,2019-01-03,Shopping União de Osasco,Gorro Liso,4,92.0,368.0
212,2019-01-03,Shopping União de Osasco,Mochila Xadrez,3,283.0,849.0
212,2019-01-03,Shopping União de Osasco,Cueca Xadrez,3,60.0,180.0
212,2019-01-03,Shopping União de Osasco,Polo Liso,1,137.0,137.0
213,2019-01-03,Shopping Morumbi,Mochila Linho,2,311.0,622.0
214,2019-01-03,Rio Mar Shopping Fortaleza,Terno Linho,2,750.0,1500.0
214,2019-01-03,Rio Mar Shopping Fortaleza,Camisa,4,100.0,400.0
217,2019-01-03,Shopping Midway Mall,Calça Listrado,1,181.0,181.0
218,2019-01-03,Parque Dom Pedro Shopping,Camisa Xadrez,3,105.0,315.0
218,2019-01-03,Parque Dom Pedro Shopping,Mochila,5,270.0,1350.0
218,2019-01-03,Parque Dom Pedro Shopping,Meia Listrado,3,37.0,111.0
219,2019-01-03,Shopping SP Market,Calça Estampa,3,177.0,531.0
219,2019-01-03,Shopping SP Market,Camiseta Xadrez,2,200.0,400.0
219,2019-01-03,Shopping SP Market,Casaco Estampa,3,256.0,768.0
219,2019-01-03,Shopping SP Market,Sapato Xadrez,2,368.0,736.0
221,2019-01-03,Center Shopping Uberlândia,Camisa Gola V Linho,1,145.0,145.0
221,2019-01-03,Center Shopping Uberlândia,Short Listrado,1,102.0,102.0
221,2019-01-03,Center Shopping Uberlândia,Chinelo Linho,2,105.0,210.0
223,2019-01-03,Shopping SP Market,Camisa Gola V,1,100.0,100.0
224,2019-01-03,Shopping Vila Velha,Camiseta Listrado,3,197.0,591.0
225,2019-01-03,Ribeirão Shopping,Mochila Liso,3,276.0,828.0
225,2019-01-03,Ribeirão Shopping,Polo Listrado,4,149.0,596.0
226,2019-01-03,Rio Mar Shopping Fortaleza,Relógio Liso,3,216.0,648.0
226,2019-01-03,Rio Mar Shopping Fortaleza,Sunga,3,100.0,300.0
227,2019-01-03,Shopping União de Osasco,Bermuda Listrado,2,163.0,326.0
228,2019-01-03,Palladium Shopping Curitiba,Tênis Estampa,2,256.0,512.0
229,2019-01-03,Ribeirão Shopping,Terno Xadrez,2,709.0,1418.0
229,2019-01-03,Ribeirão Shopping,Sapato Estampa,4,358.0,1432.0
229,2019-01-03,Ribeirão Shopping,Bermuda Liso,1,157.0,157.0
232,2019-01-03,Shopping Morumbi,Cinto Liso,3,209.0,627.0
232,2019-01-03,Shopping Morumbi,Camisa Gola V,4,100.0,400.0
232,2019-01-03,Shopping Morumbi,Calça Listrado,1,181.0,181.0
233,2019-01-03,Shopping Center Leste Aricanduva,Camisa Xadrez,2,105.0,210.0
233,2019-01-03,Shopping Center Leste Aricanduva,Camisa Gola V Estampa,1,118.0,118.0
233,2019-01-03,Shopping Center Leste Aricanduva,Cueca Estampa,3,66.0,198.0
235,2019-01-03,Shopping Eldorado,Mochila Xadrez,2,283.0,566.0
236,2019-01-03,Shopping Morumbi,Pulseira Xadrez,3,87.0,261.0
237,2019-01-03,Passei das Águas Shopping,Sunga Listrado,1,114.0,114.0
237,2019-01-03,Passei das Águas Shopping,Bermuda Linho,1,195.0,195.0
239,2019-01-03,Shopping Ibirapuera,Chinelo,1,60.0,60.0
239,2019-01-03,Shopping Ibirapuera,Polo Estampa,3,138.0,414.0
240,2019-01-03,Center Shopping Uberlândia,Gorro Listrado,3,97.0,291.0
241,2019-01-03,Palladium Shopping Curitiba,Terno Estampa,3,706.0,2118.0
242,2019-01-03,Shopping Barra,Polo Listrado,2,149.0,298.0
244,2019-01-03,Norte Shopping,Pulseira Liso,1,87.0,87.0
246,2019-01-03,Bourbon Shopping SP,Tênis Estampa,2,256.0,512.0
247,2019-01-03,Norte Shopping,Camisa Gola V Listrado,2,116.0,232.0
247,2019-01-03,Norte Shopping,Polo Xadrez,1,142.0,142.0
248,2019-01-03,Shopping Iguatemi Fortaleza,Pulseira Liso,2,87.0,174.0
248,2019-01-03,Shopping Iguatemi Fortaleza,Calça Estampa,1,177.0,177.0
251,2019-01-03,Passei das Águas Shopping,Sunga,2,100.0,200.0
251,2019-01-03,Passei das Águas Shopping,Calça,1,170.0,170.0
251,2019-01-03,Passei das Águas Shopping,Terno Liso,2,720.0,1440.0
253,2019-01-03,Shopping Iguatemi Fortaleza,Tênis Listrado,2,262.0,524.0
253,2019-01-03,Shopping Iguatemi Fortaleza,Cueca Estampa,1,66.0,66.0
254,2019-01-03,Passei das Águas Shopping,Tênis Listrado,1,262.0,262.0
254,2019-01-03,Passei das Águas Shopping,Gorro Xadrez,3,85.0,255.0
254,2019-01-03,Passei das Águas Shopping,Polo Estampa,2,138.0,276.0
254,2019-01-03,Passei das Águas Shopping,Short Estampa,1,96.0,96.0
